SignalDate,Code,Name,Source_D10_Top20,Source_ReLaunch,D10Rank,D10ExplosionScore,ReLaunchTracks,R0_BASE_ONSET,R1_CCI_ONSET,R2_J_ONSET,R3_EITHER_ONSET,R4_BOTH_ONSET
2026-09-04,4576,大銀微系統,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,4590,富田-創,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,4737,華廣,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,4763,材料*-KY,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,4767,誠泰科技,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,4938,和碩,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,4956,光鋐,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,4974,亞泰,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,4977,眾達-KY,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,4979,華星光,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,5210,寶碩,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,5263,智崴,False,True,,,R0_BASE|R1_CCI|R3_EITHER,True,True,False,True,False
2026-09-04,5403,中菲,False,True,,,R0_BASE|R1_CCI|R3_EITHER,True,True,False,True,False
2026-09-04,5434,崇越,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,5864,致和證,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6015,宏遠證,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6016,康和證,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6021,美好證,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6024,群益期,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6112,邁達特,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6134,萬旭,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6168,宏齊,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6170,統振,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,6197,佳必琪,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6204,艾華,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6224,聚鼎,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,6271,同欣電,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6275,元山,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6276,安鈦克,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6290,良維,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
