SignalDate,Code,Name,Close,EMA9,EMA20,EMA_GAP_PCT,EMA9_DELTA_PCT,EMA20_DELTA_PCT,MACD_HIST,MACD_ACCEL1,MACD_ACCEL2,CCI20,CCI20_DELTA1,CCI_TURN,J,J_DELTA1,J_TURN,PULLBACK_RECOVERY,BB_CONTRACT,R0_BASE_ONSET,R1_CCI_ONSET,R2_J_ONSET,R3_EITHER_ONSET,R4_BOTH_ONSET,TrackFlags
2026-09-04,2357,華碩,1025.0,982.5619748751283,938.565470915952,4.687632916672269,1.0915663701710043,0.9788804238554993,1.790559046263887,0.8752364900153325,4.162743856944594,111.09467455621305,30.286593748132347,True,125.93507283725256,105.0395504491928,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,2376,技嘉,361.0,354.99050625901117,352.51027495437484,0.7035912087831608,0.42501382528625786,0.2541561513097701,0.2035804260420151,0.3938367545301187,0.8100471846644995,22.001495247249842,22.107416230196467,True,129.80764695645672,103.3447505850935,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,2377,微星,161.5,152.54879583861,150.55658790677134,1.323228667398002,1.4887806732640785,0.7710189185428762,0.8721220667129352,0.6207795481296252,0.7169343823203056,81.34790048703432,46.10560973813576,True,151.15891200997586,95.37993920972642,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,2382,廣達,345.0,336.20298153142227,331.47216596324563,1.42721352015458,0.6584521189216819,0.4314468619014411,2.464006031404234,0.19964736807465844,0.7061463130653549,155.86082937475925,62.3073702552622,True,117.78623313732268,74.18079096045193,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,2385,群光,110.5,107.97219193717854,107.04133800506936,0.8696209795743481,0.5887372863780493,0.3412814083128435,0.5122635063442729,0.11763446007747796,0.20286039421559937,167.0886075949366,63.24397818550382,True,122.53968253968253,79.68253968253961,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,2388,威盛,81.4000015258789,75.62006042589464,74.95763266380862,0.8837362367846602,1.9480738941705988,0.9129627892862979,0.4823376749940888,0.4617031409454872,0.3766126479151634,127.59570588566312,118.93512128158375,False,140.87427325352255,90.8742732535225,True,True,1,True,False,True,True,False,R0_BASE|R2_J|R3_EITHER
2026-09-04,2413,環科,45.79999923706055,43.57883113114103,43.36602017332616,0.4907320454224262,1.2906702657097924,0.5943155664536626,0.1127955783937809,0.1972591686038867,0.312719697158522,50.580422364831705,202.07466518402765,True,215.2921677357358,241.22505148981293,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,2421,建準,178.0,165.93768081715092,157.4302186681415,5.403957525424596,1.8509335300773477,1.3945450936354797,2.420912082730595,0.24824624413870833,0.9672959556768936,127.50095927204974,27.256460494543575,True,122.2222222222222,91.57088122605367,False,True,0,True,True,False,True,False,R0_BASE|R1_CCI|R3_EITHER
2026-09-04,2428,興勤,260.0,253.23654293921,251.9143167815562,0.5248713826774498,0.6721897486415385,0.3390080966239717,0.961300461588574,0.46928235542808966,1.2691718877719793,59.86590038314185,93.65285486460563,True,87.280701754386,115.35087719298242,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,2434,統懋,67.30000305175781,61.37313143812619,58.282149108340015,5.303480357322421,2.4740072340235786,1.6556772142746645,1.8835820876163725,0.08277576112155005,0.12588306809887273,146.77730967385426,-32.40912979370063,False,97.10690029987458,52.76600722725507,False,True,0,True,False,False,False,False,R0_BASE
